,"Suicide Rate"
"2000",6.53
"2001",6.32
"2002",6.22
"2003",6.52
"2004",6.55
"2005",6.41
"2006",6.22
"2007",6.15
"2008",6.43
"2009",6.6
"2010",6.55
"2011",6.54
"2012",6.24
"2013",6.11
"2014",6.4
"2015",7.16
"2016",7.36
"2017",7.6
"2018",7.95
"2019",8.15
"2020",6.41
"2021",8.79
